component_type,response,0.000,0.500,1.000,1.500
Basins,func_mean,1.0,0.7740740740740741,0.4154074074074074,0.21403703703703703
Basins,func_std,0.0,0.34732919185695377,0.42765223188268586,0.3605681287661128
Basins,loss_mean,0.0,0.005958685185185186,0.011812833333333335,0.014682759259259258
Basins,loss_std,0.0,0.006363623363881366,0.006282580227580803,0.004778278872836148
Basins,loss_tot,0.0,0.1608845,0.3189465,0.39643449999999997
Basins,num_failures,0.0,0.13629629629629633,0.4740740740740741,0.7103703703703702
Chemical Tanks,func_mean,1.0,0.7581428571428573,0.39057142857142857,0.22914285714285715
Chemical Tanks,func_std,0.0,0.3488489080845583,0.42118941997943493,0.35032733680522377
Chemical Tanks,loss_mean,0.0,0.010587285714285716,0.019238071428571427,0.02289107142857143
Chemical Tanks,loss_std,0.0,0.010566280417536178,0.009358153026335778,0.006345640281272348
Chemical Tanks,loss_tot,0.0,0.07411100000000001,0.1346665,0.1602375
Chemical Tanks,num_failures,0.0,0.1457142857142857,0.48857142857142855,0.6542857142857142
Electric Power Backup,func_mean,1.0,0.846,0.554,0.395
Electric Power Backup,func_std,0.0,0.3550830888679437,0.45164587898042424,0.4456736474147872
Electric Power Backup,loss_mean,0.0,0.006280000000000001,0.02048,0.027200000000000005
Electric Power Backup,loss_std,0.0,0.014411162340352704,0.017868676503871236,0.016089748288895016
Electric Power Backup,loss_tot,0.0,0.006280000000000001,0.02048,0.027200000000000005
Electric Power Backup,num_failures,0.0,0.14,0.34,0.52
Electric Power Commercial,func_mean,1.0,0.7090000000000001,0.31200000000000006,0.111
Electric Power Commercial,func_std,0.0,0.19866806487203725,0.3012573650551966,0.23394230057858284
Electric Power Commercial,loss_mean,0.0,0.008480000000000001,0.014180000000000002,0.016640000000000002
Electric Power Commercial,loss_std,0.0,0.003144773441760153,0.004058029078259544,0.00303815733628132
Electric Power Commercial,loss_tot,0.0,0.008480000000000001,0.014180000000000002,0.016640000000000002
Electric Power Commercial,num_failures,0.0,0.02,0.38,0.78
Elevated Pipes,func_mean,1.0,0.605,0.21749999999999997,0.0815
Elevated Pipes,func_std,0.0,0.34536304392780826,0.26715173616242055,0.19091874661003078
Elevated Pipes,loss_mean,0.0,0.0018180000000000002,0.002994,0.003368
Elevated Pipes,loss_std,0.0,0.0011401912811609502,0.000680602074179956,0.0005049317217463962
Elevated Pipes,loss_tot,0.0,0.0036360000000000003,0.005988,0.006736
Elevated Pipes,num_failures,0.0,0.12,0.52,0.81
Horizontal Pump,func_mean,1.0,0.961,0.6210000000000001,0.466
Horizontal Pump,func_std,0.0,0.07368174807915458,0.38653460388430944,0.41466130757523056
Horizontal Pump,loss_mean,0.0,0.000505,0.0024200000000000003,0.0029900000000000005
Horizontal Pump,loss_std,0.0,0.0007288518367953806,0.001553576518875076,0.0016695508378003947
Horizontal Pump,loss_tot,0.0,0.000505,0.0024200000000000003,0.0029900000000000005
Horizontal Pump,num_failures,0.0,0.0,0.26,0.4
Internal Pipework,func_mean,1.0,0.5688214285714286,0.21725,0.09528571428571429
Internal Pipework,func_std,0.0,0.3432686869118819,0.2724189270916672,0.1897857724997456
Internal Pipework,loss_mean,0.0,0.0012533035714285717,0.0019080535714285714,0.0021331607142857146
Internal Pipework,loss_std,0.0,0.0006990557032813695,0.0004874421307265495,0.0003387048198728613
Internal Pipework,loss_tot,0.0,0.035092500000000006,0.0534255,0.05972850000000001
Internal Pipework,num_failures,0.0,0.12571428571428572,0.5114285714285715,0.7571428571428572
Pipe Connectors,func_mean,1.0,0.6081999999999999,0.24380000000000002,0.10800000000000001
Pipe Connectors,func_std,0.0,0.33931649637269246,0.28839698578885964,0.1938643926450188
Pipe Connectors,loss_mean,0.0,0.0011355,0.001823,0.0020455
Pipe Connectors,loss_std,0.0,0.0006785184277474774,0.00047983252824491967,0.0003463701318793109
Pipe Connectors,loss_tot,0.0,0.0056775,0.009115,0.0102275
Pipe Connectors,num_failures,0.0,0.09200000000000001,0.4800000000000001,0.712
Sediment Flocculation,func_mean,1.0,0.8553750000000001,0.5275,0.291875
Sediment Flocculation,func_std,0.0,0.20274219412730513,0.3637878417653463,0.34425290954665655
Sediment Flocculation,loss_mean,0.0,0.00207,0.0046500000000000005,0.006009374999999999
Sediment Flocculation,loss_std,0.0,0.001845237268310726,0.0021181130164517805,0.0017873160828013842
Sediment Flocculation,loss_tot,0.0,0.01656,0.037200000000000004,0.04807499999999999
Sediment Flocculation,num_failures,0.0,0.025,0.2825,0.535
Vertical Pump,func_mean,1.0,0.8610000000000002,0.571,0.298
Vertical Pump,func_std,0.0,0.294667609349925,0.4089119709668574,0.346837137573242
Vertical Pump,loss_mean,0.0,0.00043749999999999995,0.0012125000000000003,0.0018525
Vertical Pump,loss_std,0.0,0.000746345261926409,0.0009203430067099981,0.0006367348349195291
Vertical Pump,loss_tot,0.0,0.00043749999999999995,0.0012125000000000003,0.0018525
Vertical Pump,num_failures,0.0,0.08,0.26,0.5
Wells,func_mean,1.0,0.7180000000000001,0.335,0.23600000000000002
Wells,func_std,0.0,0.28593723760112844,0.29587098683511504,0.2702965693226823
Wells,loss_mean,0.0,0.016523,0.029438,0.0322875
Wells,loss_std,0.0,0.010788551447932252,0.008895772564593524,0.008098328537278775
Wells,loss_tot,0.0,0.033046,0.058876,0.064575
Wells,num_failures,0.0,0.05,0.30000000000000004,0.45999999999999996
